product,quality,bytes,ship_px,psnr
crop wake q40,40,1676,60.999936,38.09059126062166
crop wake q60,60,2195,60.999936,40.58074121782607
crop wake q80,80,3144,60.999936,43.572816348446764
crop wake q95,95,6124,60.999936,48.20437853087266
crop wake jp2,-1,17321,60.999936,49.98897081124876
thumbnail 96px,60,2299,,
whole tile q40,40,86490,,33.046125478861526
whole tile q60,60,106008,,35.070028070120244
crop tight q20,20,722,23.000064,30.02161505563356
crop tight q40,40,763,23.000064,32.64362744532241
crop tight q60,60,798,23.000064,34.48161368654669
crop tight q80,80,873,23.000064,36.56972262866984
crop tight q95,95,1113,23.000064,42.10913318369812
crop context q20,20,797,23.000064,29.352858086703733
crop context q40,40,878,23.000064,32.19941342586931
crop context q60,60,950,23.000064,33.98837978392564
crop context q80,80,1071,23.000064,37.000573570808456
crop context q95,95,1484,23.000064,42.3058328661501
crop context jp2,-1,982,23.000064,33.35642736108943
crop wake q20,20,1047,23.000064,29.18841595280412
crop wake q40,40,1230,23.000064,32.164309669383435
crop wake q60,60,1381,23.000064,33.97711623480892
crop wake q80,80,1691,23.000064,36.791151098030255
crop wake q95,95,2714,23.000064,42.67049513829892
crop wake jp2,-1,2522,23.000064,36.17873096730183
thumbnail 96px,60,980,,
whole tile q40,40,31119,,38.103682111718356
whole tile q60,60,40269,,40.468553758753686
crop tight q20,20,753,47.000064,32.915878177702524
crop tight q40,40,831,47.000064,35.65508660613342
crop tight q60,60,895,47.000064,38.0079549876716
crop tight q80,80,1076,47.000064,43.0052731681372
crop tight q95,95,1417,47.000064,49.19647409855911
crop tight jp2,-1,1897,47.000064,44.378637632471005
crop context q20,20,813,47.000064,33.824418249362196
crop context q40,40,941,47.000064,36.507093563987254
crop context q60,60,1064,47.000064,38.82731851482098
crop context q80,80,1305,47.000064,42.32631193129145
crop context q95,95,1997,47.000064,47.19462943406175
crop context jp2,-1,3365,47.000064,46.262746918468395
crop wake q20,20,926,47.000064,34.76633361671018
crop wake q40,40,1164,47.000064,37.28081468283459
crop wake q60,60,1332,47.000064,39.740268356119714
crop wake q80,80,1896,47.000064,45.741451950226235
crop wake q95,95,2837,47.000064,53.84131491016487
crop wake jp2,-1,7012,47.000064,48.1526344388815
crop tight q20,20,701,23.000064,30.03344737544876
crop tight q40,40,734,23.000064,34.34317037108056
crop tight q60,60,757,23.000064,35.685031738982865
crop tight q80,80,823,23.000064,38.371186084699104
crop tight q95,95,1019,23.000064,42.76541837704811
crop context q20,20,737,23.000064,31.321603663386202
crop context q40,40,798,23.000064,34.4167991087378
crop context q60,60,844,23.000064,36.736499201230096
crop context q80,80,936,23.000064,39.02323157225405
crop context q95,95,1258,23.000064,42.93228069059228
crop context jp2,-1,972,23.000064,39.27847736556518
crop wake q20,20,834,23.000064,32.02001238084972
crop wake q40,40,958,23.000064,35.54948388461687
crop wake q60,60,1066,23.000064,37.29105902993834
crop wake q80,80,1276,23.000064,39.94954943499173
crop wake q95,95,1967,23.000064,44.207536353646475
crop wake jp2,-1,2528,23.000064,44.19273966977532
crop tight q20,20,741,27.999744,31.11192983653565
crop tight q40,40,793,27.999744,34.55149016207679
crop tight q60,60,838,27.999744,36.65010138383351
crop tight q80,80,916,27.999744,39.36029654628832
crop tight q95,95,1162,27.999744,44.417551867991946
crop tight jp2,-1,830,27.999744,38.09150070970789
crop context q20,20,759,27.999744,32.43859662923077
crop context q40,40,828,27.999744,35.049104703650414
crop context q60,60,892,27.999744,37.277413203429916
crop context q80,80,1016,27.999744,40.11639951087244
