image,size_px,visible_fraction,visible_px,found,best_iou
87bd9c92b.jpg,91.00032,0.2,17.999871999999982,False,0.41242302786536617
87bd9c92b.jpg,91.00032,0.3,26.999871999999982,False,0.3323835627927247
87bd9c92b.jpg,91.00032,0.4,35.99987199999998,False,0.4685022812506912
87bd9c92b.jpg,91.00032,0.5,45.99987199999998,True,0.7430387614441168
87bd9c92b.jpg,91.00032,0.6,54.99987199999998,True,0.7133796719879119
87bd9c92b.jpg,91.00032,0.7,63.99987199999998,True,0.7435707076429853
87bd9c92b.jpg,91.00032,0.8,72.99987199999998,True,0.8084279903585938
87bd9c92b.jpg,91.00032,0.9,81.99987199999998,True,0.9070097983031661
87bd9c92b.jpg,91.00032,1.0,90.99987199999998,True,0.8415932906463771
e0e5aee91.jpg,34.000128,0.2,6.9998720000000105,False,0.0
e0e5aee91.jpg,34.000128,0.3,9.99987200000001,False,0.0
e0e5aee91.jpg,34.000128,0.4,13.99987200000001,False,0.0
e0e5aee91.jpg,34.000128,0.5,16.99987200000001,False,0.0
e0e5aee91.jpg,34.000128,0.6,19.99987200000001,False,0.0
e0e5aee91.jpg,34.000128,0.7,23.99987200000001,True,0.7484060280582248
e0e5aee91.jpg,34.000128,0.8,26.99987200000001,True,0.8053065112630926
e0e5aee91.jpg,34.000128,0.9,30.99987200000001,True,0.8432557012307882
e0e5aee91.jpg,34.000128,1.0,33.99987200000001,True,0.8163493128327556
fbd56ed37.jpg,86.999808,0.2,16.999936000000048,False,0.0
fbd56ed37.jpg,86.999808,0.3,25.999936000000048,False,0.0
fbd56ed37.jpg,86.999808,0.4,34.99993600000005,False,0.0
fbd56ed37.jpg,86.999808,0.5,42.99993600000005,True,0.816306054553947
fbd56ed37.jpg,86.999808,0.6,51.99993600000005,True,0.671111928265824
fbd56ed37.jpg,86.999808,0.7,60.99993600000005,True,0.7612455832767197
fbd56ed37.jpg,86.999808,0.8,69.99993600000005,True,0.9227616607757134
fbd56ed37.jpg,86.999808,0.9,77.99993600000005,True,0.8733965717347719
fbd56ed37.jpg,86.999808,1.0,86.99980800000003,True,0.9186565546356105
554d79bcb.jpg,167.000064,0.2,32.99974399999999,False,0.0
554d79bcb.jpg,167.000064,0.3,49.99974399999999,True,0.7174553547315503
554d79bcb.jpg,167.000064,0.4,66.99974399999999,True,0.7382494870894567
554d79bcb.jpg,167.000064,0.5,83.99974399999999,True,0.788968828534994
554d79bcb.jpg,167.000064,0.6,99.99974399999999,True,0.8361131933455231
554d79bcb.jpg,167.000064,0.7,116.99974399999999,True,0.9365060667015209
554d79bcb.jpg,167.000064,0.8,133.999744,True,0.9605406535226549
554d79bcb.jpg,167.000064,0.9,149.999744,True,0.9883880681251186
554d79bcb.jpg,167.000064,1.0,166.999744,True,0.9698587643247846
6cc0bc1e3.jpg,60.999936,0.2,7.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.3,11.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.4,14.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.5,18.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.6,22.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.7,25.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.8,29.000319999999988,False,0.0
6cc0bc1e3.jpg,60.999936,0.9,32.00031999999999,False,0.0
6cc0bc1e3.jpg,60.999936,1.0,36.0,True,0.9152179568023604
c4d1e6670.jpg,228.0,0.2,45.99968000000001,False,0.0
c4d1e6670.jpg,228.0,0.3,67.99968000000001,True,0.5404738990966751
c4d1e6670.jpg,228.0,0.4,90.99968000000001,True,0.6916845152580837
c4d1e6670.jpg,228.0,0.5,113.99968000000001,True,0.6850926848113686
c4d1e6670.jpg,228.0,0.6,136.99968,True,0.781135940515757
c4d1e6670.jpg,228.0,0.7,159.99968,True,0.8623137925123411
c4d1e6670.jpg,228.0,0.8,181.99968,True,0.9131369324949152
c4d1e6670.jpg,228.0,0.9,204.99968,True,0.9398614428736508
c4d1e6670.jpg,228.0,1.0,227.99968,True,0.9348199972654935
f74e84709.jpg,194.99980800000003,0.2,39.00012800000002,True,0.841609263795084
f74e84709.jpg,194.99980800000003,0.3,58.00012800000002,True,0.5403347425796902
f74e84709.jpg,194.99980800000003,0.4,78.00012800000002,True,0.6394409584545115
f74e84709.jpg,194.99980800000003,0.5,97.00012800000002,True,0.699666643239846
f74e84709.jpg,194.99980800000003,0.6,117.00012800000002,True,0.7456963890356227
f74e84709.jpg,194.99980800000003,0.7,136.00012800000002,True,0.8963158437408726
f74e84709.jpg,194.99980800000003,0.8,156.00012800000002,True,0.8872692667211434
f74e84709.jpg,194.99980800000003,0.9,175.00012800000002,True,0.9241553881747876
f74e84709.jpg,194.99980800000003,1.0,194.99980800000003,True,0.9434286498576578
59c89fe1a.jpg,114.000384,0.2,6.999743999999978,False,0.0
59c89fe1a.jpg,114.000384,0.3,9.999743999999978,False,0.0
59c89fe1a.jpg,114.000384,0.4,13.999743999999978,False,0.0
59c89fe1a.jpg,114.000384,0.5,16.99974399999998,False,0.0
