policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
Value-greedy (ours),small,13.210484531111112,0.036766630973749236,25,0.03420342630348034,12.16,12.16,12.159999999999997,0.0,1838,20.0,2.0,True,40000,0
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,16724,39.506905829750885,7901.91,7901.91,7942.490000002346,0.0,3999,7495.498871089619,0.005336536058231066,True,40000,0
Value-greedy (ours),small,22.197338734166667,0.04123161633571852,25,0.05433039253953127,14.16,14.16,14.159999999999997,0.0,2061,20.0,2.0,True,40000,0
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,7931,17.028332170186992,1448.96,1448.96,1448.9599999999464,0.0,4000,9700.36021048345,0.00412355821145393,True,40000,0
Value-greedy (ours),small,23.749109346666668,0.055192288813824694,25,0.024221590919350586,2.22,2.22,2.2199999999999953,0.0,229,240.40987505959572,2.0,True,40000,0
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,455,1.2457665676216545,241.0,241.0,240.99999999999727,0.0,4000,11897.5448183856,0.003362038186079107,True,40000,0
Value-greedy (ours),small,35.282123580833336,1.204806612977754,25,0.031538183335476366,11.16,11.16,11.159999999999997,0.0,60240,20.0,2.0,True,40000,0
FIFO,operational,0.09089067972222223,24.870337162528504,129,0.2837869982624869,39.92,39.92000000000003,39.91999999999982,7.119666690982962e-16,4000,6217.584290632126,0.006433366743458061,True,40000,0
FIFO,small,0.09089067972222223,1.7597577608086739,25,0.02008000009591493,10.19,10.19,10.189999999999996,0.0,87987,20.0,2.0,True,40000,0
FIFO,operational,11.60635736611111,60.079759210938946,22020,51.992900768171964,10449.47,10449.47,10449.470000003044,0.0,4000,15019.939802734736,0.002663126518837116,True,40000,0
FIFO,small,11.60635736611111,0.059400340807952416,25,0.051404933471523466,13.14,13.14,13.139999999999997,0.0,2970,20.0,2.0,True,40000,0
FIFO,operational,13.210484531111112,8.577590168261082,3060,7.979599038896058,1500.58,1500.58,1500.5799999999822,0.0,4000,2144.3975420652705,0.018653257717072356,True,40000,0
FIFO,small,13.210484531111112,0.036766630973749236,25,0.03420342630348034,12.16,12.16,12.159999999999997,0.0,1838,20.0,2.0,True,40000,0
FIFO,operational,22.197338734166667,29.981995484358475,16724,39.506905829750885,5998.24,6244.796161129306,7942.490000002346,0.03948185893784545,3999,7495.498871089619,0.005336536058231066,True,40000,0
FIFO,small,22.197338734166667,0.04123161633571852,25,0.05433039253953127,11.06,14.159999999999997,14.159999999999997,0.21892655367231617,2061,20.0,2.0,True,40000,0
FIFO,operational,23.749109346666668,38.801440841933804,6953,17.055385729529036,3352.63,3352.63,3352.630000000974,0.0,4000,9700.36021048345,0.00412355821145393,True,40000,0
FIFO,small,23.749109346666668,0.11426494209940216,25,0.050225780810733374,14.14,14.14,14.139999999999997,0.0,5713,20.0,2.0,True,40000,0
