image,quality,bytes,psnr_db,ships,found,n_pred
0dadcb924.jpg,original,272158,inf,1,0,0
0dadcb924.jpg,q60,107444,34.76911487327475,1,0,0
0dadcb924.jpg,q40,87203,32.73951582785916,1,0,0
0dadcb924.jpg,q30,77064,31.674692036077495,1,0,0
0dadcb924.jpg,q20,61791,29.681783467941848,1,0,0
0e011db65.jpg,original,132009,inf,0,0,0
0e011db65.jpg,q60,44559,40.50817878289898,0,0,0
0e011db65.jpg,q40,33976,38.541825650300794,0,0,0
0e011db65.jpg,q30,28447,37.280653616570575,0,0,0
0e011db65.jpg,q20,21277,35.27674875660398,0,0,0
0e4a5ae51.jpg,original,216530,inf,1,0,0
0e4a5ae51.jpg,q60,84607,36.9090681101985,1,0,0
0e4a5ae51.jpg,q40,68902,34.744477465286565,1,0,0
0e4a5ae51.jpg,q30,61206,33.60863301860684,1,0,0
0e4a5ae51.jpg,q20,47981,31.30597234071878,1,0,0
0ebbee9f9.jpg,original,221371,inf,4,2,2
0ebbee9f9.jpg,q60,86507,36.968911082048685,4,2,2
0ebbee9f9.jpg,q40,70403,34.77948949899756,4,2,2
0ebbee9f9.jpg,q30,61987,33.586125011691024,4,2,2
0ebbee9f9.jpg,q20,48360,31.241204831508874,4,2,2
0efbf3431.jpg,original,144479,inf,9,2,8
0efbf3431.jpg,q60,39148,36.82516233276577,9,3,6
0efbf3431.jpg,q40,28913,35.52642635558368,9,2,4
0efbf3431.jpg,q30,23863,34.24328180835137,9,1,3
0efbf3431.jpg,q20,18445,32.98835745766088,9,2,3
0f5b253f0.jpg,original,217187,inf,1,0,0
0f5b253f0.jpg,q60,84746,36.88413187375651,1,0,0
0f5b253f0.jpg,q40,68882,34.70707261216323,1,0,0
0f5b253f0.jpg,q30,60486,33.44001549006046,1,0,0
0f5b253f0.jpg,q20,47006,31.33384022367059,1,0,0
0f7aba2e0.jpg,original,111326,inf,4,0,3
0f7aba2e0.jpg,q60,33059,41.089642997513536,4,0,2
0f7aba2e0.jpg,q40,25103,39.46172965670176,4,0,4
0f7aba2e0.jpg,q30,20146,38.06061259312928,4,0,4
0f7aba2e0.jpg,q20,15411,36.377874082188974,4,0,2
0f81bc382.jpg,original,211206,inf,1,1,1
0f81bc382.jpg,q60,81857,37.42223756472716,1,1,1
0f81bc382.jpg,q40,66561,35.1445267413626,1,1,1
0f81bc382.jpg,q30,58471,33.95037393269585,1,1,1
0f81bc382.jpg,q20,45207,31.422147992398873,1,1,1
1093ebba2.jpg,original,210949,inf,1,0,0
1093ebba2.jpg,q60,83765,37.610958288629895,1,0,0
1093ebba2.jpg,q40,68482,35.52672926609462,1,0,0
1093ebba2.jpg,q30,59519,34.199538801882134,1,1,1
1093ebba2.jpg,q20,46761,32.1255161884092,1,0,0
1097748b8.jpg,original,209872,inf,1,1,1
1097748b8.jpg,q60,81397,37.45978699849749,1,1,1
1097748b8.jpg,q40,66136,35.21428713652511,1,1,1
1097748b8.jpg,q30,58120,34.0073700492201,1,1,1
1097748b8.jpg,q20,44837,31.53688151960108,1,1,1
11f1398df.jpg,original,293907,inf,0,0,0
11f1398df.jpg,q60,117557,34.13128770034396,0,0,0
11f1398df.jpg,q40,96544,32.23284931641971,0,0,0
11f1398df.jpg,q30,85457,31.21013285874136,0,0,0
11f1398df.jpg,q20,69176,29.270880382264878,0,0,0
12c41b236.jpg,original,280450,inf,0,0,0
12c41b236.jpg,q60,109829,34.01357056559407,0,0,0
12c41b236.jpg,q40,88430,32.04896733658782,0,0,0
12c41b236.jpg,q30,77413,30.95218409113146,0,0,0
12c41b236.jpg,q20,62031,29.269639007804447,0,0,0
13038001c.jpg,original,121674,inf,0,0,0
13038001c.jpg,q60,40508,40.930548297192,0,0,0
13038001c.jpg,q40,31992,39.03217330355608,0,0,0
13038001c.jpg,q30,26655,37.434282423458185,0,0,0
13038001c.jpg,q20,19009,35.7940328983742,0,0,0
149f806bd.jpg,original,167021,inf,1,1,1
149f806bd.jpg,q60,61887,38.694219572974674,1,0,0
149f806bd.jpg,q40,49702,36.53604496920127,1,0,0
149f806bd.jpg,q30,42751,35.217233598304716,1,0,0
149f806bd.jpg,q20,32133,33.07892372105062,1,0,0
1603a3ccb.jpg,original,156660,inf,1,1,2
1603a3ccb.jpg,q60,55889,39.53085933160925,1,1,2
1603a3ccb.jpg,q40,44835,36.93665144105775,1,1,2
1603a3ccb.jpg,q30,37968,35.6644863375842,1,1,2
