product,quality,bytes,psnr,n_ships
whole tile,60,87492,36.279348774288835,
whole tile,80,131821,40.48535228952165,
ROI mosaic x1.5,60,1262,,1.0
ROI mosaic x1.5,80,1540,,1.0
thumbnail 48px,30,807,,
thumbnail 48px,60,922,,
thumbnail 48px,80,1091,,
thumbnail 64px,30,926,,
thumbnail 64px,60,1145,,
thumbnail 64px,80,1407,,
thumbnail 96px,30,1225,,
thumbnail 96px,60,1650,,
thumbnail 96px,80,2212,,
thumbnail 128px,30,1623,,
thumbnail 128px,60,2292,,
thumbnail 128px,80,3287,,
whole tile,30,28577,36.87801121444491,
whole tile,40,34610,38.16399296760264,
whole tile,50,41800,39.450753297417045,
whole tile,60,44159,40.3684750702239,
whole tile,80,77308,46.2978055072343,
ROI mosaic x1.5,60,732,,1.0
ROI mosaic x1.5,80,787,,1.0
thumbnail 48px,30,842,,
thumbnail 48px,60,964,,
thumbnail 48px,80,1179,,
thumbnail 64px,30,985,,
thumbnail 64px,60,1219,,
thumbnail 64px,80,1549,,
thumbnail 96px,30,1391,,
thumbnail 96px,60,1925,,
thumbnail 96px,80,2683,,
thumbnail 128px,30,1969,,
thumbnail 128px,60,2911,,
thumbnail 128px,80,4465,,
whole tile,30,107388,22.746254277320133,
whole tile,40,124941,23.639253042357794,
whole tile,50,151353,25.145074360575276,
whole tile,60,160911,26.117548360550835,
whole tile,80,259979,33.46019002166475,
ROI mosaic x1.5,60,1383,,2.0
ROI mosaic x1.5,80,1438,,2.0
thumbnail 48px,30,673,,
thumbnail 48px,60,685,,
thumbnail 48px,80,716,,
thumbnail 64px,30,701,,
thumbnail 64px,60,726,,
thumbnail 64px,80,764,,
thumbnail 96px,30,799,,
thumbnail 96px,60,839,,
thumbnail 96px,80,932,,
thumbnail 128px,30,932,,
thumbnail 128px,60,1003,,
thumbnail 128px,80,1173,,
whole tile,30,16175,38.70342051852423,
whole tile,40,21779,39.4228760956613,
whole tile,50,28217,40.14584882943211,
whole tile,60,29940,41.58039158358719,
whole tile,80,60314,48.77455763377746,
ROI mosaic x1.5,60,7639,,2.0
ROI mosaic x1.5,80,11470,,2.0
thumbnail 48px,30,700,,
thumbnail 48px,60,755,,
thumbnail 48px,80,855,,
thumbnail 64px,30,754,,
thumbnail 64px,60,869,,
thumbnail 64px,80,1110,,
thumbnail 96px,30,947,,
thumbnail 96px,60,1323,,
thumbnail 96px,80,1888,,
thumbnail 128px,30,1327,,
thumbnail 128px,60,2122,,
thumbnail 128px,80,3475,,
whole tile,30,74721,27.578312278195757,
whole tile,40,87468,28.193940481760833,
whole tile,50,102197,29.08427333557338,
whole tile,60,108673,29.600984980616587,
whole tile,80,190948,38.080845632236745,
ROI mosaic x1.5,60,11980,,2.0
ROI mosaic x1.5,80,18005,,2.0
thumbnail 48px,30,674,,
thumbnail 48px,60,690,,
thumbnail 48px,80,727,,
thumbnail 64px,30,706,,
thumbnail 64px,60,730,,
thumbnail 64px,80,795,,
thumbnail 96px,30,798,,
thumbnail 96px,60,847,,
thumbnail 96px,80,1066,,
thumbnail 128px,30,917,,
thumbnail 128px,60,1038,,
thumbnail 128px,80,1781,,
whole tile,30,31181,36.907266890812146,
whole tile,40,37407,37.85502171677734,
whole tile,50,44765,39.44955008034411,
whole tile,60,47163,40.52190465275932,
whole tile,80,79769,47.17323272444097,
ROI mosaic x1.5,60,2325,,2.0
ROI mosaic x1.5,80,2862,,2.0
thumbnail 48px,30,724,,
thumbnail 48px,60,787,,
thumbnail 48px,80,887,,
thumbnail 64px,30,789,,
thumbnail 64px,60,890,,
thumbnail 64px,80,1074,,
thumbnail 96px,30,943,,
thumbnail 96px,60,1226,,
thumbnail 96px,80,1764,,
thumbnail 128px,30,1239,,
thumbnail 128px,60,1923,,
thumbnail 128px,80,3029,,
whole tile,30,41537,35.83888987984102,
whole tile,40,47647,37.16492225631585,
whole tile,50,54741,38.52586340260922,
whole tile,60,58906,39.51785391333901,
whole tile,80,89682,44.35941361418252,
ROI mosaic x1.5,60,1484,,2.0
ROI mosaic x1.5,80,1585,,2.0
thumbnail 48px,30,719,,
thumbnail 48px,60,809,,
thumbnail 48px,80,986,,
thumbnail 64px,30,807,,
thumbnail 64px,60,1046,,
thumbnail 64px,80,1547,,
thumbnail 96px,30,1233,,
thumbnail 96px,60,2209,,
thumbnail 96px,80,3337,,
thumbnail 128px,30,2427,,
thumbnail 128px,60,3939,,
thumbnail 128px,80,5837,,
whole tile,30,58901,33.34776556123771,
whole tile,40,67850,34.73940744751712,
whole tile,50,78464,36.01123974794997,
whole tile,60,84736,37.05973843870129,
whole tile,80,128888,41.99986477828733,
ROI mosaic x1.5,60,788,,1.0
ROI mosaic x1.5,80,856,,1.0
thumbnail 48px,30,665,,
thumbnail 48px,60,676,,
thumbnail 48px,80,707,,
thumbnail 64px,30,697,,
thumbnail 64px,60,711,,
thumbnail 64px,80,754,,
thumbnail 96px,30,782,,
thumbnail 96px,60,819,,
thumbnail 96px,80,966,,
thumbnail 128px,30,903,,
thumbnail 128px,60,994,,
thumbnail 128px,80,1425,,
whole tile,30,23459,37.63018074796061,
whole tile,40,29469,38.45166423614925,
whole tile,50,36599,40.44668549063556,
whole tile,60,38293,40.593807560935716,
whole tile,80,70496,48.247325535885906,
ROI mosaic x1.5,60,2506,,3.0
ROI mosaic x1.5,80,2887,,3.0
thumbnail 48px,30,792,,
thumbnail 48px,60,887,,
thumbnail 48px,80,1036,,
thumbnail 64px,30,914,,
thumbnail 64px,60,1083,,
thumbnail 64px,80,1330,,
thumbnail 96px,30,1231,,
thumbnail 96px,60,1554,,
thumbnail 96px,80,2065,,
thumbnail 128px,30,1645,,
thumbnail 128px,60,2245,,
thumbnail 128px,80,3130,,
whole tile,30,31996,32.176819250561984,
whole tile,40,37862,32.91517105496967,
whole tile,50,45342,33.86701172220605,
whole tile,60,50253,34.43058840648253,
whole tile,80,108248,41.97480978040585,
ROI mosaic x1.5,60,6052,,7.0
ROI mosaic x1.5,80,6942,,7.0
thumbnail 48px,30,708,,
thumbnail 48px,60,749,,
thumbnail 48px,80,800,,
thumbnail 64px,30,781,,
thumbnail 64px,60,848,,
thumbnail 64px,80,944,,
thumbnail 96px,30,873,,
thumbnail 96px,60,952,,
thumbnail 96px,80,1062,,
thumbnail 128px,30,1122,,
thumbnail 128px,60,1271,,
thumbnail 128px,80,1523,,
whole tile,30,12182,40.21112748620129,
whole tile,40,12775,40.42660858696178,
whole tile,50,13674,41.70796690110856,
whole tile,60,14488,42.18896198676781,
whole tile,80,24212,45.73766582953213,
ROI mosaic x1.5,60,8804,,5.0
ROI mosaic x1.5,80,12488,,5.0
thumbnail 48px,30,713,,
thumbnail 48px,60,766,,
thumbnail 48px,80,840,,
thumbnail 64px,30,752,,
thumbnail 64px,60,822,,
thumbnail 64px,80,932,,
thumbnail 96px,30,887,,
thumbnail 96px,60,995,,
thumbnail 96px,80,1174,,
thumbnail 128px,30,1031,,
thumbnail 128px,60,1169,,
thumbnail 128px,80,1434,,
whole tile,30,15119,39.682598238004076,
whole tile,40,19394,39.89504671061138,
whole tile,50,24660,41.62024204365501,
whole tile,60,26396,42.19513649319982,
whole tile,80,49916,48.65389142428572,
ROI mosaic x1.5,60,5329,,4.0
ROI mosaic x1.5,80,6893,,4.0
thumbnail 48px,30,856,,
thumbnail 48px,60,1003,,
thumbnail 48px,80,1221,,
thumbnail 64px,30,1013,,
thumbnail 64px,60,1285,,
thumbnail 64px,80,1721,,
thumbnail 96px,30,1547,,
thumbnail 96px,60,2299,,
thumbnail 96px,80,3415,,
thumbnail 128px,30,2445,,
thumbnail 128px,60,3981,,
thumbnail 128px,80,6002,,
whole tile,30,76147,31.931131572190075,
whole tile,40,86490,33.04612587846764,
whole tile,50,98593,34.228411089526894,
whole tile,60,106008,35.07002805495767,
whole tile,80,159941,41.32269496264356,
ROI mosaic x1.5,60,917,,1.0
ROI mosaic x1.5,80,1028,,1.0
thumbnail 48px,30,704,,
thumbnail 48px,60,748,,
thumbnail 48px,80,820,,
thumbnail 64px,30,765,,
thumbnail 64px,60,827,,
thumbnail 64px,80,926,,
thumbnail 96px,30,885,,
thumbnail 96px,60,980,,
thumbnail 96px,80,1232,,
thumbnail 128px,30,1068,,
thumbnail 128px,60,1244,,
thumbnail 128px,80,1731,,
whole tile,30,24902,36.90719059857569,
whole tile,40,31119,38.10368223367304,
whole tile,50,38220,39.864963874782006,
whole tile,60,40269,40.468553929562,
whole tile,80,72696,47.63501922823197,
ROI mosaic x1.5,60,12923,,7.0
ROI mosaic x1.5,80,17312,,7.0
thumbnail 48px,30,724,,
thumbnail 48px,60,766,,
thumbnail 48px,80,835,,
thumbnail 64px,30,777,,
thumbnail 64px,60,836,,
thumbnail 64px,80,929,,
thumbnail 96px,30,895,,
thumbnail 96px,60,990,,
thumbnail 96px,80,1161,,
thumbnail 128px,30,1066,,
thumbnail 128px,60,1204,,
thumbnail 128px,80,1467,,
whole tile,30,13106,37.433713167380304,
whole tile,40,13735,39.25462069882115,
whole tile,50,14860,40.877453833295846,
whole tile,60,15596,41.4252336278982,
whole tile,80,29375,48.36495629960549,
ROI mosaic x1.5,60,14343,,7.0
ROI mosaic x1.5,80,19753,,7.0
thumbnail 48px,30,665,,
thumbnail 48px,60,671,,
thumbnail 48px,80,686,,
thumbnail 64px,30,693,,
thumbnail 64px,60,700,,
thumbnail 64px,80,725,,
thumbnail 96px,30,777,,
thumbnail 96px,60,789,,
thumbnail 96px,80,839,,
thumbnail 128px,30,892,,
thumbnail 128px,60,907,,
thumbnail 128px,80,997,,
whole tile,30,10210,41.53101653429225,
whole tile,40,10485,42.784464865752916,
whole tile,50,10962,43.52753435633779,
whole tile,60,12987,43.60749253933673,
whole tile,80,27690,52.841103182806066,
ROI mosaic x1.5,60,1935,,3.0
ROI mosaic x1.5,80,1969,,3.0
thumbnail 48px,30,745,,
thumbnail 48px,60,835,,
thumbnail 48px,80,988,,
thumbnail 64px,30,836,,
thumbnail 64px,60,1036,,
thumbnail 64px,80,1393,,
thumbnail 96px,30,1193,,
thumbnail 96px,60,1892,,
thumbnail 96px,80,2981,,
thumbnail 128px,30,2034,,
thumbnail 128px,60,3629,,
thumbnail 128px,80,5636,,
whole tile,30,77905,32.080388323489785,
whole tile,40,88388,33.15236092147298,
whole tile,50,100629,34.35422285332158,
whole tile,60,108061,35.16766282921851,
whole tile,80,161542,41.462052191297836,
ROI mosaic x1.5,60,995,,1.0
ROI mosaic x1.5,80,1154,,1.0
thumbnail 48px,30,854,,
thumbnail 48px,60,1107,,
thumbnail 48px,80,1372,,
thumbnail 64px,30,1221,,
thumbnail 64px,60,1632,,
thumbnail 64px,80,2131,,
thumbnail 96px,30,2284,,
thumbnail 96px,60,3248,,
thumbnail 96px,80,4485,,
thumbnail 128px,30,3741,,
thumbnail 128px,60,5586,,
thumbnail 128px,80,7915,,
