image,context,cloud_frac,edge_density,big_blob_frac,n_candidates,prefilter_ms,n_fp_0.05,n_tp_0.05,n_fp_0.25,n_tp_0.25,n_fp_0.4,n_tp_0.4,n_ships,ctx3
53d7d0fc0.jpg,candidates,0.0,0.0001068115234375,0.0,1,75.18119993619621,0,2,0,1,0,1,1,ships
53db3ed83.jpg,candidates,0.0,0.0013105604383680555,0.011232164171006944,13,75.84239996504039,0,1,0,1,0,1,1,ships
53eb17de6.jpg,candidates,0.0,0.0,0.0,10,82.03130005858839,0,0,0,0,0,0,0,empty
53ec90b6d.jpg,candidates,0.0,0.003936767578125,0.020540025499131944,5,82.05510000698268,0,1,0,1,0,1,1,ships
53ee5a490.jpg,land_coast,0.0,0.010403103298611112,0.08396233452690972,12,89.50989996083081,0,3,0,1,0,0,2,coast
5413c2733.jpg,candidates,0.0,0.0024888780381944445,0.0,27,86.56249998603016,3,5,0,3,0,1,3,ships
54160ea3e.jpg,land_coast,0.0,0.026816474066840276,0.1563229031032986,103,84.10500001627952,5,2,0,1,0,1,2,coast
541a3dd2c.jpg,candidates,0.0,0.0006120469835069445,0.0,9,85.86720004677773,0,1,0,1,0,1,1,ships
5420f242d.jpg,land_coast,0.0,0.1612887912326389,0.0,25,89.1220000339672,1,1,1,1,1,1,1,coast
542e6c911.jpg,candidates,0.0,0.0030229356553819445,0.0,11,83.16090004518628,0,3,0,2,0,2,3,ships
54391cb81.jpg,candidates,0.0,0.00011189778645833333,0.0,38,88.43400003388524,1,2,0,1,0,0,1,ships
543d39900.jpg,candidates,0.0,0.008594089084201388,0.010233561197916666,19,82.5706000905484,0,1,0,1,0,1,1,ships
5442b4e2d.jpg,candidates,0.0,0.003395928276909722,0.0,12,81.96759992279112,3,4,2,3,1,3,3,ships
5451810a9.jpg,candidates,0.0,0.001995510525173611,0.0,5,80.82910010125488,0,4,0,2,0,0,1,ships
545a56afc.jpg,candidates,0.0,0.007151285807291667,0.0,46,87.59559993632138,0,2,0,2,0,2,2,ships
54604a0a5.jpg,candidates,0.0,0.0011800130208333333,0.0,3,86.39879990369081,0,2,0,1,0,1,2,ships
54718c8e3.jpg,empty_sea,0.0,0.0,0.0,0,76.40669995453209,0,0,0,0,0,0,0,empty
5479776f5.jpg,land_coast,0.0,0.2739596896701389,0.0,3,95.27459996752441,5,1,1,1,0,1,2,coast
5488109de.jpg,candidates,0.0,0.036019219292534724,0.0,243,97.64799999538809,0,0,0,0,0,0,0,empty
54a4f358a.jpg,candidates,0.0,0.0012190077039930555,0.0,15,89.66020005755126,0,2,0,1,0,1,1,ships
54e8ae406.jpg,land_coast,0.006237453884548611,0.0065816353568870405,0.09408661432129663,11,93.2485000230372,0,11,0,6,0,1,4,coast
54f26faa5.jpg,candidates,0.0,0.0138702392578125,0.0,37,73.2595999725163,0,7,0,5,0,3,4,ships
54f4d4f03.jpg,candidates,0.0,0.003965589735243056,0.0,2,95.63259989954531,0,1,0,1,0,1,1,ships
550e65871.jpg,land_coast,0.0,0.1884918212890625,0.011227077907986112,58,80.45800006948411,0,3,0,3,0,3,3,coast
5517c5e5b.jpg,candidates,0.0,0.004716661241319444,0.0,28,82.7102999901399,2,9,0,9,0,8,9,ships
551b423fe.jpg,candidates,0.0,0.0034739176432291665,0.012012057834201388,11,99.31800002232194,0,1,0,1,0,1,1,ships
553768325.jpg,land_coast,0.0,0.21126302083333334,0.0,76,98.03539991844445,0,0,0,0,0,0,0,coast
5545f84bc.jpg,candidates,0.0,5.425347222222222e-05,0.0,1,93.05629995651543,0,2,0,1,0,1,1,ships
554d79bcb.jpg,candidates,0.0,0.0019514295789930555,0.0,9,90.7053000992164,0,1,0,1,0,1,1,ships
556c9f4ec.jpg,candidates,0.0,0.001797146267361111,0.0,2,96.08879999723285,2,3,0,2,0,0,1,ships
557bf583e.jpg,candidates,0.0,0.0842929416232639,0.010433620876736112,67,92.83929993398488,8,15,1,5,0,2,12,ships
558022404.jpg,land_coast,0.0,0.3085445827907986,0.0,5,98.8565000006929,0,1,0,1,0,1,1,coast
55934a76a.jpg,candidates,0.0,0.024317423502604168,0.0,63,85.85859998129308,0,0,0,0,0,0,0,empty
55a95a0da.jpg,candidates,0.0,0.0035959879557291665,0.0,8,76.27800002228469,2,2,1,1,0,0,1,ships
55ab796d2.jpg,land_coast,0.19986470540364584,0.0019629671104201937,0.16774585943486747,29,73.5949999652803,0,1,0,0,0,0,1,coast
