image,size_px,straddles,found_whole,found_grid,found_sahi,found_edge,slices_whole,slices_grid,slices_sahi,slices_edge
955f86d96.jpg,96.0,True,True,True,True,True,1.0,4.0,9.0,8.0
98aedefbe.jpg,117.000192,True,True,True,True,True,1.0,4.0,9.0,4.0
99d552cd3.jpg,40.99968,False,True,True,True,True,1.0,4.0,9.0,6.0
9aff0579f.jpg,39.999744,False,True,False,False,False,1.0,4.0,9.0,4.0
9b66947b6.jpg,7.00032,False,True,True,True,True,1.0,4.0,9.0,6.0
9baebd106.jpg,12.999936000000002,False,True,True,True,True,1.0,4.0,9.0,4.0
9cbe01cd5.jpg,24.999935999999998,False,True,True,True,True,,,,
9cbe01cd5.jpg,23.000064,False,True,True,True,True,,,,
9cbe01cd5.jpg,24.999935999999998,False,True,True,True,True,1.0,4.0,9.0,4.0
9ce7301b7.jpg,181.99987199999998,False,True,True,True,True,1.0,4.0,9.0,4.0
9ed7ee672.jpg,108.99993599999999,True,True,True,True,True,,,,
9ed7ee672.jpg,107.00006400000001,True,True,True,True,True,,,,
9ed7ee672.jpg,72.0,False,True,True,True,True,,,,
9ed7ee672.jpg,26.999808,False,True,True,True,True,,,,
9ed7ee672.jpg,27.999744,False,True,True,True,True,1.0,4.0,9.0,8.0
9edef8ed8.jpg,22.000128,False,True,True,True,True,1.0,4.0,9.0,6.0
9fd5ffab8.jpg,116.00025600000001,False,True,True,True,True,1.0,4.0,9.0,4.0
a09ebdb2a.jpg,125.999616,True,True,True,True,True,1.0,4.0,9.0,6.0
a11221fe0.jpg,19.000320000000002,True,True,True,True,True,1.0,4.0,9.0,6.0
a453f5a1d.jpg,34.000128,False,True,True,True,True,1.0,4.0,9.0,4.0
a53531c44.jpg,218.99980800000003,False,True,True,True,True,1.0,4.0,9.0,4.0
a69be0c5b.jpg,20.000256,False,True,False,False,False,1.0,4.0,9.0,6.0
a75dc5c66.jpg,4.99968,False,False,False,False,False,1.0,4.0,9.0,6.0
a89f33618.jpg,32.000256,False,True,True,True,True,1.0,4.0,9.0,6.0
a9411389a.jpg,28.99968,False,True,True,True,True,1.0,4.0,9.0,4.0
a9f4e777c.jpg,192.99993600000002,False,True,True,True,True,1.0,4.0,9.0,4.0
aa0b9e324.jpg,92.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
ae1853ca8.jpg,56.00025599999999,False,False,True,True,True,,,,
ae1853ca8.jpg,25.999872000000003,False,False,False,False,False,,,,
ae1853ca8.jpg,21.000192,False,False,False,False,False,,,,
ae1853ca8.jpg,23.000064,False,False,False,False,False,,,,
ae1853ca8.jpg,28.99968,False,False,False,False,False,,,,
ae1853ca8.jpg,34.000128,False,False,False,False,False,,,,
ae1853ca8.jpg,19.000320000000002,False,False,False,True,False,,,,
ae1853ca8.jpg,36.999936,False,False,False,False,False,,,,
ae1853ca8.jpg,47.000064,False,False,False,False,False,,,,
